"table_schema","table_name","column_name","data_type"
"afecciones","aemet_estaciones_auto","gid","integer"
"afecciones","aemet_estaciones_auto","id","character varying"
"afecciones","aemet_estaciones_auto","objectid","integer"
"afecciones","aemet_estaciones_auto","amt_ds_indicativo","character varying"
"afecciones","aemet_estaciones_auto","amt_ds_nom_estacion","character varying"
"afecciones","aemet_estaciones_auto","amt_ds_provincia","character varying"
"afecciones","aemet_estaciones_auto","amt_nm_altitud","double precision"
"afecciones","aemet_estaciones_auto","amt_nm_coordenada_x","double precision"
"afecciones","aemet_estaciones_auto","amt_nm_coordenada_y","double precision"
"afecciones","aemet_estaciones_auto","amt_ds_var_observadas","character varying"
"afecciones","aemet_estaciones_auto","amt_ds_datum","character varying"
"afecciones","aemet_estaciones_auto","amt_ds_tipo","character varying"
"afecciones","aemet_estaciones_auto","gdb_geomattr_data","character varying"
"afecciones","aemet_estaciones_auto","geom","USER-DEFINED"
"afecciones","aemet_estaciones_comp","gid","integer"
"afecciones","aemet_estaciones_comp","id","character varying"
"afecciones","aemet_estaciones_comp","objectid","integer"
"afecciones","aemet_estaciones_comp","amt_ds_indicativo","character varying"
"afecciones","aemet_estaciones_comp","amt_ds_nom_estacion","character varying"
"afecciones","aemet_estaciones_comp","amt_ds_provincia","character varying"
"afecciones","aemet_estaciones_comp","amt_nm_altitud","integer"
"afecciones","aemet_estaciones_comp","amt_nm_coordenada_x","double precision"
"afecciones","aemet_estaciones_comp","amt_nm_coordenada_y","double precision"
"afecciones","aemet_estaciones_comp","amt_ds_var_observadas","character varying"
"afecciones","aemet_estaciones_comp","amt_ds_datum","character varying"
"afecciones","aemet_estaciones_comp","amt_ds_tipo","character varying"
"afecciones","aemet_estaciones_comp","gdb_geomattr_data","character varying"
"afecciones","aemet_estaciones_comp","geom","USER-DEFINED"
"afecciones","aemet_estaciones_pluv","gid","integer"
"afecciones","aemet_estaciones_pluv","id","character varying"
"afecciones","aemet_estaciones_pluv","objectid","integer"
"afecciones","aemet_estaciones_pluv","amt_ds_indicativo","character varying"
"afecciones","aemet_estaciones_pluv","amt_ds_nom_estacion","character varying"
"afecciones","aemet_estaciones_pluv","amt_ds_provincia","character varying"
"afecciones","aemet_estaciones_pluv","amt_nm_altitud","double precision"
"afecciones","aemet_estaciones_pluv","amt_nm_coordenada_x","double precision"
"afecciones","aemet_estaciones_pluv","amt_nm_coordenada_y","double precision"
"afecciones","aemet_estaciones_pluv","amt_ds_var_observadas","character varying"
"afecciones","aemet_estaciones_pluv","amt_ds_datum","character varying"
"afecciones","aemet_estaciones_pluv","amt_ds_tipo","character varying"
"afecciones","aemet_estaciones_pluv","gdb_geomattr_data","character varying"
"afecciones","aemet_estaciones_pluv","geom","USER-DEFINED"
"afecciones","aemet_estaciones_term","gid","integer"
"afecciones","aemet_estaciones_term","id","character varying"
"afecciones","aemet_estaciones_term","objectid","integer"
"afecciones","aemet_estaciones_term","amt_ds_indicativo","character varying"
"afecciones","aemet_estaciones_term","amt_ds_nom_estacion","character varying"
"afecciones","aemet_estaciones_term","amt_ds_provincia","character varying"
"afecciones","aemet_estaciones_term","amt_nm_altitud","double precision"
"afecciones","aemet_estaciones_term","amt_nm_coordenada_x","double precision"
"afecciones","aemet_estaciones_term","amt_nm_coordenada_y","double precision"
"afecciones","aemet_estaciones_term","amt_ds_var_observadas","character varying"
"afecciones","aemet_estaciones_term","amt_ds_datum","character varying"
"afecciones","aemet_estaciones_term","amt_ds_tipo","character varying"
"afecciones","aemet_estaciones_term","gdb_geomattr_data","character varying"
"afecciones","aemet_estaciones_term","geom","USER-DEFINED"
"afecciones","agua_aauu_q2009","gid","integer"
"afecciones","agua_aauu_q2009","id","character varying"
"afecciones","agua_aauu_q2009","objectid","integer"
"afecciones","agua_aauu_q2009","aauu_code","character varying"
"afecciones","agua_aauu_q2009","aauu_name","character varying"
"afecciones","agua_aauu_q2009","nuts","character varying"
"afecciones","agua_aauu_q2009","geom","USER-DEFINED"
"afecciones","agua_aauu_q2011","gid","integer"
"afecciones","agua_aauu_q2011","id","character varying"
"afecciones","agua_aauu_q2011","objectid","integer"
"afecciones","agua_aauu_q2011","aauu_code","character varying"
"afecciones","agua_aauu_q2011","aauu_name","character varying"
"afecciones","agua_aauu_q2011","nuts","character varying"
"afecciones","agua_aauu_q2011","geom","USER-DEFINED"
"afecciones","agua_aauu_q2013","gid","integer"
"afecciones","agua_aauu_q2013","id","character varying"
"afecciones","agua_aauu_q2013","objectid","integer"
"afecciones","agua_aauu_q2013","agg_state","character varying"
"afecciones","agua_aauu_q2013","agg_code","character varying"
"afecciones","agua_aauu_q2013","agg_name","character varying"
"afecciones","agua_aauu_q2013","agg_nuts","character varying"
"afecciones","agua_aauu_q2013","agg_genera","integer"
"afecciones","agua_aauu_q2013","agg_period","date"
"afecciones","agua_aauu_q2013","agg_c1","double precision"
"afecciones","agua_aauu_q2013","agg_meth_c1","character varying"
"afecciones","agua_aauu_q2013","agg_c2","double precision"
"afecciones","agua_aauu_q2013","agg_meth_c2","character varying"
"afecciones","agua_aauu_q2013","agg_perc_wt","double precision"
"afecciones","agua_aauu_q2013","agg_meth_wt","character varying"
"afecciones","agua_aauu_q2013","agg_sew_net","character varying"
"afecciones","agua_aauu_q2013","agg_fcast","character varying"
"afecciones","agua_aauu_q2013","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2013","geom","USER-DEFINED"
"afecciones","agua_aauu_q2015","gid","integer"
"afecciones","agua_aauu_q2015","id","character varying"
"afecciones","agua_aauu_q2015","objectid","integer"
"afecciones","agua_aauu_q2015","agg_code","character varying"
"afecciones","agua_aauu_q2015","agg_name","character varying"
"afecciones","agua_aauu_q2015","agg_nuts","character varying"
"afecciones","agua_aauu_q2015","agg_genera","integer"
"afecciones","agua_aauu_q2015","bigcity_id","character varying"
"afecciones","agua_aauu_q2015","agg_period","date"
"afecciones","agua_aauu_q2015","agg_c1","double precision"
"afecciones","agua_aauu_q2015","agg_meth_c1","character varying"
"afecciones","agua_aauu_q2015","agg_c2","double precision"
"afecciones","agua_aauu_q2015","agg_meth_c2","character varying"
"afecciones","agua_aauu_q2015","agg_perc_wt","character varying"
"afecciones","agua_aauu_q2015","agg_meth_wt","character varying"
"afecciones","agua_aauu_q2015","agg_sew_net","character varying"
"afecciones","agua_aauu_q2015","agg_fcast","character varying"
"afecciones","agua_aauu_q2015","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2015","geom","USER-DEFINED"
"afecciones","agua_aauu_q2017","gid","integer"
"afecciones","agua_aauu_q2017","id","character varying"
"afecciones","agua_aauu_q2017","objectid","integer"
"afecciones","agua_aauu_q2017","agg_code","character varying"
"afecciones","agua_aauu_q2017","agg_name","character varying"
"afecciones","agua_aauu_q2017","agg_nuts","character varying"
"afecciones","agua_aauu_q2017","agg_genera","integer"
"afecciones","agua_aauu_q2017","bigcity_id","character varying"
"afecciones","agua_aauu_q2017","agg_period","date"
"afecciones","agua_aauu_q2017","agg_c1","double precision"
"afecciones","agua_aauu_q2017","agg_meth_c1","character varying"
"afecciones","agua_aauu_q2017","agg_c2","double precision"
"afecciones","agua_aauu_q2017","agg_meth_c2","character varying"
"afecciones","agua_aauu_q2017","agg_perc_wt","double precision"
"afecciones","agua_aauu_q2017","agg_meth_wt","character varying"
"afecciones","agua_aauu_q2017","agg_sew_net","character varying"
"afecciones","agua_aauu_q2017","agg_fcast","character varying"
"afecciones","agua_aauu_q2017","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2017","geom","USER-DEFINED"
"afecciones","agua_aauu_q2019","gid","integer"
"afecciones","agua_aauu_q2019","id","character varying"
"afecciones","agua_aauu_q2019","objectid","integer"
"afecciones","agua_aauu_q2019","agg_state","character varying"
"afecciones","agua_aauu_q2019","agg_code","character varying"
"afecciones","agua_aauu_q2019","agg_name","character varying"
"afecciones","agua_aauu_q2019","agg_nuts","character varying"
"afecciones","agua_aauu_q2019","agg_genera","integer"
"afecciones","agua_aauu_q2019","bigcity_id","character varying"
"afecciones","agua_aauu_q2019","agg_period","date"
"afecciones","agua_aauu_q2019","agg_c1","double precision"
"afecciones","agua_aauu_q2019","agg_meth_c1","character varying"
"afecciones","agua_aauu_q2019","agg_c2","double precision"
"afecciones","agua_aauu_q2019","agg_meth_c2","character varying"
"afecciones","agua_aauu_q2019","agg_perc_wt","double precision"
"afecciones","agua_aauu_q2019","agg_meth_wt","character varying"
"afecciones","agua_aauu_q2019","agg_sew_net","character varying"
"afecciones","agua_aauu_q2019","agg_fcast","character varying"
"afecciones","agua_aauu_q2019","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2019","geom","USER-DEFINED"
"afecciones","agua_aauu_q2021","gid","integer"
"afecciones","agua_aauu_q2021","id","character varying"
"afecciones","agua_aauu_q2021","objectid","integer"
"afecciones","agua_aauu_q2021","aggstate","integer"
"afecciones","agua_aauu_q2021","aggcode","character varying"
"afecciones","agua_aauu_q2021","aggname","character varying"
"afecciones","agua_aauu_q2021","aggnuts","character varying"
"afecciones","agua_aauu_q2021","agggenera","integer"
"afecciones","agua_aauu_q2021","bigcityid","character varying"
"afecciones","agua_aauu_q2021","aggperiod","timestamp with time zone"
"afecciones","agua_aauu_q2021","aggc1","integer"
"afecciones","agua_aauu_q2021","aggmethc1","character varying"
"afecciones","agua_aauu_q2021","aggc2","integer"
"afecciones","agua_aauu_q2021","aggmethc2","character varying"
"afecciones","agua_aauu_q2021","aggpercwt","integer"
"afecciones","agua_aauu_q2021","aggmethwt","character varying"
"afecciones","agua_aauu_q2021","aggsewnet","character varying"
"afecciones","agua_aauu_q2021","aggfcast","timestamp with time zone"
"afecciones","agua_aauu_q2021","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2021","geom","USER-DEFINED"
"afecciones","agua_aauu_q2023","gid","integer"
"afecciones","agua_aauu_q2023","id","character varying"
"afecciones","agua_aauu_q2023","objectid","integer"
"afecciones","agua_aauu_q2023","aggstate","integer"
"afecciones","agua_aauu_q2023","aggcode","character varying"
"afecciones","agua_aauu_q2023","aggname","character varying"
"afecciones","agua_aauu_q2023","aggnuts","character varying"
"afecciones","agua_aauu_q2023","agggenera","integer"
"afecciones","agua_aauu_q2023","bigcityid","character varying"
"afecciones","agua_aauu_q2023","aggperiod","timestamp with time zone"
"afecciones","agua_aauu_q2023","aggc1","integer"
"afecciones","agua_aauu_q2023","aggmethc1","character varying"
"afecciones","agua_aauu_q2023","aggc2","integer"
"afecciones","agua_aauu_q2023","aggmethc2","character varying"
"afecciones","agua_aauu_q2023","aggpercwt","integer"
"afecciones","agua_aauu_q2023","aggmethwt","character varying"
"afecciones","agua_aauu_q2023","aggsewnet","character varying"
"afecciones","agua_aauu_q2023","aggfcast","timestamp with time zone"
"afecciones","agua_aauu_q2023","gdb_geomattr_data","character varying"
"afecciones","agua_aauu_q2023","geom","USER-DEFINED"
"afecciones","agua_aguas_afectadas_2022","gid","integer"
"afecciones","agua_aguas_afectadas_2022","id","character varying"
"afecciones","agua_aguas_afectadas_2022","objectid","integer"
"afecciones","agua_aguas_afectadas_2022","cod_est","character varying"
"afecciones","agua_aguas_afectadas_2022","tipo_est","character varying"
"afecciones","agua_aguas_afectadas_2022","tipo_est_nom","character varying"
"afecciones","agua_aguas_afectadas_2022","nom_est","character varying"
"afecciones","agua_aguas_afectadas_2022","lon_etrs89","character varying"
"afecciones","agua_aguas_afectadas_2022","lat_etrs89","character varying"
"afecciones","agua_aguas_afectadas_2022","cod_demarc","character varying"
"afecciones","agua_aguas_afectadas_2022","nom_demarc","character varying"
"afecciones","agua_aguas_afectadas_2022","cod_masa","character varying"
"afecciones","agua_aguas_afectadas_2022","nom_masa","character varying"
"afecciones","agua_aguas_afectadas_2022","cat_masa","character varying"
"afecciones","agua_aguas_afectadas_2022","tipo_masa","character varying"
"afecciones","agua_aguas_afectadas_2022","cod_zv","character varying"
"afecciones","agua_aguas_afectadas_2022","max","character varying"
"afecciones","agua_aguas_afectadas_2022","media_inver","character varying"
"afecciones","agua_aguas_afectadas_2022","media","character varying"
"afecciones","agua_aguas_afectadas_2022","media_2016","character varying"
"afecciones","agua_aguas_afectadas_2022","media_2017","character varying"
"afecciones","agua_aguas_afectadas_2022","media_2018","character varying"
"afecciones","agua_aguas_afectadas_2022","media_2019","character varying"
"afecciones","agua_aguas_afectadas_2022","eutrofia","character varying"
"afecciones","agua_aguas_afectadas_2022","afectada_rd","character varying"
"afecciones","agua_aguas_afectadas_2022","gdb_geomattr_data","character varying"
"afecciones","agua_aguas_afectadas_2022","geom","USER-DEFINED"
"afecciones","agua_aguasbanio20","gid","integer"
"afecciones","agua_aguasbanio20","id","character varying"
"afecciones","agua_aguasbanio20","objectid","integer"
"afecciones","agua_aguasbanio20","local_id","character varying"
"afecciones","agua_aguasbanio20","namespace","character varying"
"afecciones","agua_aguasbanio20","version_id","character varying"
"afecciones","agua_aguasbanio20","thematic_id","character varying"
"afecciones","agua_aguasbanio20","thema_id_sch","character varying"
"afecciones","agua_aguasbanio20","begin_life","date"
"afecciones","agua_aguasbanio20","end_life","character varying"
"afecciones","agua_aguasbanio20","predeces_id","character varying"
"afecciones","agua_aguasbanio20","prede_id_sch","character varying"
"afecciones","agua_aguasbanio20","success_id","character varying"
"afecciones","agua_aguasbanio20","succe_id_sch","character varying"
"afecciones","agua_aguasbanio20","w_evolution","character varying"
"afecciones","agua_aguasbanio20","name_txt_int","character varying"
"afecciones","agua_aguasbanio20","name_text","character varying"
"afecciones","agua_aguasbanio20","name_txt_lan","character varying"
"afecciones","agua_aguasbanio20","desig_begin","date"
"afecciones","agua_aguasbanio20","desig_end","character varying"
"afecciones","agua_aguasbanio20","zone_type","character varying"
"afecciones","agua_aguasbanio20","sp_zone_type","character varying"
"afecciones","agua_aguasbanio20","legis_name","character varying"
"afecciones","agua_aguasbanio20","legis_link","character varying"
"afecciones","agua_aguasbanio20","legis_level","character varying"
"afecciones","agua_aguasbanio20","r_zone_id","character varying"
"afecciones","agua_aguasbanio20","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio20","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio20","geom","USER-DEFINED"
"afecciones","agua_aguasbanio21","gid","integer"
"afecciones","agua_aguasbanio21","id","character varying"
"afecciones","agua_aguasbanio21","objectid","integer"
"afecciones","agua_aguasbanio21","local_id","character varying"
"afecciones","agua_aguasbanio21","namespace","character varying"
"afecciones","agua_aguasbanio21","version_id","character varying"
"afecciones","agua_aguasbanio21","thematic_id","character varying"
"afecciones","agua_aguasbanio21","thema_id_sch","character varying"
"afecciones","agua_aguasbanio21","begin_life","date"
"afecciones","agua_aguasbanio21","end_life","character varying"
"afecciones","agua_aguasbanio21","predeces_id","character varying"
"afecciones","agua_aguasbanio21","prede_id_sch","character varying"
"afecciones","agua_aguasbanio21","success_id","character varying"
"afecciones","agua_aguasbanio21","succe_id_sch","character varying"
"afecciones","agua_aguasbanio21","w_evolution","character varying"
"afecciones","agua_aguasbanio21","name_txt_int","character varying"
"afecciones","agua_aguasbanio21","name_text","character varying"
"afecciones","agua_aguasbanio21","name_txt_lan","character varying"
"afecciones","agua_aguasbanio21","desig_begin","date"
"afecciones","agua_aguasbanio21","desig_end","character varying"
"afecciones","agua_aguasbanio21","zone_type","character varying"
"afecciones","agua_aguasbanio21","sp_zone_type","character varying"
"afecciones","agua_aguasbanio21","legis_name","character varying"
"afecciones","agua_aguasbanio21","legis_link","character varying"
"afecciones","agua_aguasbanio21","legis_level","character varying"
"afecciones","agua_aguasbanio21","r_zone_id","character varying"
"afecciones","agua_aguasbanio21","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio21","link","character varying"
"afecciones","agua_aguasbanio21","lon","double precision"
"afecciones","agua_aguasbanio21","lat","double precision"
"afecciones","agua_aguasbanio21","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio21","geom","USER-DEFINED"
"afecciones","agua_aguasbanio22","gid","integer"
"afecciones","agua_aguasbanio22","id","character varying"
"afecciones","agua_aguasbanio22","objectid","integer"
"afecciones","agua_aguasbanio22","local_id","character varying"
"afecciones","agua_aguasbanio22","namespace","character varying"
"afecciones","agua_aguasbanio22","version_id","character varying"
"afecciones","agua_aguasbanio22","thematic_id","character varying"
"afecciones","agua_aguasbanio22","thema_id_sch","character varying"
"afecciones","agua_aguasbanio22","begin_life","date"
"afecciones","agua_aguasbanio22","end_life","character varying"
"afecciones","agua_aguasbanio22","predeces_id","character varying"
"afecciones","agua_aguasbanio22","prede_id_sch","character varying"
"afecciones","agua_aguasbanio22","success_id","character varying"
"afecciones","agua_aguasbanio22","succe_id_sch","character varying"
"afecciones","agua_aguasbanio22","w_evolution","character varying"
"afecciones","agua_aguasbanio22","name_txt_int","character varying"
"afecciones","agua_aguasbanio22","name_text","character varying"
"afecciones","agua_aguasbanio22","name_txt_lan","character varying"
"afecciones","agua_aguasbanio22","desig_begin","date"
"afecciones","agua_aguasbanio22","desig_end","character varying"
"afecciones","agua_aguasbanio22","zone_type","character varying"
"afecciones","agua_aguasbanio22","sp_zone_type","character varying"
"afecciones","agua_aguasbanio22","legis_name","character varying"
"afecciones","agua_aguasbanio22","legis_link","character varying"
"afecciones","agua_aguasbanio22","legis_level","character varying"
"afecciones","agua_aguasbanio22","r_zone_id","character varying"
"afecciones","agua_aguasbanio22","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio22","link","character varying"
"afecciones","agua_aguasbanio22","lon","double precision"
"afecciones","agua_aguasbanio22","lat","double precision"
"afecciones","agua_aguasbanio22","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio22","geom","USER-DEFINED"
"afecciones","agua_aguasbanio23","gid","integer"
"afecciones","agua_aguasbanio23","id","character varying"
"afecciones","agua_aguasbanio23","objectid","integer"
"afecciones","agua_aguasbanio23","local_id","character varying"
"afecciones","agua_aguasbanio23","namespace","character varying"
"afecciones","agua_aguasbanio23","version_id","character varying"
"afecciones","agua_aguasbanio23","thematic_id","character varying"
"afecciones","agua_aguasbanio23","thema_id_sch","character varying"
"afecciones","agua_aguasbanio23","begin_life","date"
"afecciones","agua_aguasbanio23","end_life","character varying"
"afecciones","agua_aguasbanio23","predeces_id","character varying"
"afecciones","agua_aguasbanio23","prede_id_sch","character varying"
"afecciones","agua_aguasbanio23","success_id","character varying"
"afecciones","agua_aguasbanio23","succe_id_sch","character varying"
"afecciones","agua_aguasbanio23","w_evolution","character varying"
"afecciones","agua_aguasbanio23","name_txt_int","character varying"
"afecciones","agua_aguasbanio23","name_text","character varying"
"afecciones","agua_aguasbanio23","name_txt_lan","character varying"
"afecciones","agua_aguasbanio23","desig_begin","date"
"afecciones","agua_aguasbanio23","desig_end","character varying"
"afecciones","agua_aguasbanio23","zone_type","character varying"
"afecciones","agua_aguasbanio23","sp_zone_type","character varying"
"afecciones","agua_aguasbanio23","r_zone_id","character varying"
"afecciones","agua_aguasbanio23","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio23","legis_name","character varying"
"afecciones","agua_aguasbanio23","legis_link","character varying"
"afecciones","agua_aguasbanio23","legis_level","character varying"
"afecciones","agua_aguasbanio23","link","character varying"
"afecciones","agua_aguasbanio23","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio23","geom","USER-DEFINED"
"afecciones","agua_aguasbanio24","gid","integer"
"afecciones","agua_aguasbanio24","id","character varying"
"afecciones","agua_aguasbanio24","objectid","integer"
"afecciones","agua_aguasbanio24","local_id","character varying"
"afecciones","agua_aguasbanio24","namespace","character varying"
"afecciones","agua_aguasbanio24","version_id","character varying"
"afecciones","agua_aguasbanio24","thematic_id","character varying"
"afecciones","agua_aguasbanio24","thema_id_sch","character varying"
"afecciones","agua_aguasbanio24","begin_life","date"
"afecciones","agua_aguasbanio24","end_life","character varying"
"afecciones","agua_aguasbanio24","predeces_id","character varying"
"afecciones","agua_aguasbanio24","prede_id_sch","character varying"
"afecciones","agua_aguasbanio24","success_id","character varying"
"afecciones","agua_aguasbanio24","succe_id_sch","character varying"
"afecciones","agua_aguasbanio24","w_evolution","character varying"
"afecciones","agua_aguasbanio24","name_txt_int","character varying"
"afecciones","agua_aguasbanio24","name_text","character varying"
"afecciones","agua_aguasbanio24","name_txt_lan","character varying"
"afecciones","agua_aguasbanio24","desig_begin","date"
"afecciones","agua_aguasbanio24","desig_end","character varying"
"afecciones","agua_aguasbanio24","zone_type","character varying"
"afecciones","agua_aguasbanio24","sp_zone_type","character varying"
"afecciones","agua_aguasbanio24","r_zone_id","character varying"
"afecciones","agua_aguasbanio24","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio24","legis_name","character varying"
"afecciones","agua_aguasbanio24","legis_link","character varying"
"afecciones","agua_aguasbanio24","legis_level","character varying"
"afecciones","agua_aguasbanio24","link","character varying"
"afecciones","agua_aguasbanio24","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio24","geom","USER-DEFINED"
"afecciones","agua_aguasbanio25","gid","integer"
"afecciones","agua_aguasbanio25","id","character varying"
"afecciones","agua_aguasbanio25","objectid","integer"
"afecciones","agua_aguasbanio25","c_year","integer"
"afecciones","agua_aguasbanio25","local_id","character varying"
"afecciones","agua_aguasbanio25","namespace","character varying"
"afecciones","agua_aguasbanio25","version_id","character varying"
"afecciones","agua_aguasbanio25","thematic_id","character varying"
"afecciones","agua_aguasbanio25","thema_id_sch","character varying"
"afecciones","agua_aguasbanio25","begin_life","date"
"afecciones","agua_aguasbanio25","end_life","character varying"
"afecciones","agua_aguasbanio25","predeces_id","character varying"
"afecciones","agua_aguasbanio25","prede_id_sch","character varying"
"afecciones","agua_aguasbanio25","success_id","character varying"
"afecciones","agua_aguasbanio25","succe_id_sch","character varying"
"afecciones","agua_aguasbanio25","w_evolution","character varying"
"afecciones","agua_aguasbanio25","name_txt_int","character varying"
"afecciones","agua_aguasbanio25","name_text","character varying"
"afecciones","agua_aguasbanio25","name_txt_lan","character varying"
"afecciones","agua_aguasbanio25","desig_begin","date"
"afecciones","agua_aguasbanio25","desig_end","character varying"
"afecciones","agua_aguasbanio25","zone_type","character varying"
"afecciones","agua_aguasbanio25","sp_zone_type","character varying"
"afecciones","agua_aguasbanio25","r_zone_id","character varying"
"afecciones","agua_aguasbanio25","r_zone_id_sch","character varying"
"afecciones","agua_aguasbanio25","legis_name","character varying"
"afecciones","agua_aguasbanio25","legis_link","character varying"
"afecciones","agua_aguasbanio25","legis_level","character varying"
"afecciones","agua_aguasbanio25","size_value","character varying"
"afecciones","agua_aguasbanio25","size_uom","character varying"
"afecciones","agua_aguasbanio25","link","character varying"
"afecciones","agua_aguasbanio25","lon","double precision"
"afecciones","agua_aguasbanio25","lat","double precision"
"afecciones","agua_aguasbanio25","country","character varying"
"afecciones","agua_aguasbanio25","gdb_geomattr_data","character varying"
"afecciones","agua_aguasbanio25","geom","USER-DEFINED"
"afecciones","agua_ambitos_cchh","gid","integer"
"afecciones","agua_ambitos_cchh","id","character varying"
"afecciones","agua_ambitos_cchh","objectid","integer"
"afecciones","agua_ambitos_cchh","cod_linea","integer"
"afecciones","agua_ambitos_cchh","gdb_geomattr_data","character varying"
"afecciones","agua_ambitos_cchh","geom","USER-DEFINED"
"afecciones","agua_ambitos_cchh_2018","gid","integer"
"afecciones","agua_ambitos_cchh_2018","id","character varying"
"afecciones","agua_ambitos_cchh_2018","objectid","integer"
"afecciones","agua_ambitos_cchh_2018","cod_linea","integer"
"afecciones","agua_ambitos_cchh_2018","gdb_geomattr_data","character varying"
"afecciones","agua_ambitos_cchh_2018","geom","USER-DEFINED"
"afecciones","agua_c_abastecimientos","gid","integer"
"afecciones","agua_c_abastecimientos","id","character varying"
"afecciones","agua_c_abastecimientos","objectid","integer"
"afecciones","agua_c_abastecimientos","codigo_org","character varying"
"afecciones","agua_c_abastecimientos","codigo_eur","character varying"
"afecciones","agua_c_abastecimientos","nom_estacion","character varying"
"afecciones","agua_c_abastecimientos","utmx","double precision"
"afecciones","agua_c_abastecimientos","utmy","double precision"
"afecciones","agua_c_abastecimientos","huso","integer"
"afecciones","agua_c_abastecimientos","categoria","character varying"
"afecciones","agua_c_abastecimientos","observaciones","character varying"
"afecciones","agua_c_abastecimientos","nom_dem","character varying"
"afecciones","agua_c_abastecimientos","organismo","character varying"
"afecciones","agua_c_abastecimientos","prov_nom","character varying"
"afecciones","agua_c_abastecimientos","muni_nom","character varying"
"afecciones","agua_c_abastecimientos","programa","character varying"
"afecciones","agua_c_abastecimientos","subprograma","character varying"
